RegionID,RegionName,City,State,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,population,popchange,median age,medianprice,crime,
65810,19143,Philadelphia,PA,7.19,7.1,6.98,6.81,6.72,6.61,6.41,6.25,6.02,5.85,5.69,5.66,5.65,5.68,5.72,5.85,5.83,5.9,5.94,5.87,5.71,5.61,5.57,5.59,5.53,5.53,5.63,5.71,5.73,5.78,5.82,5.85,5.84,5.85,5.86,5.94,6.07,6.05,6.13,6.08,6.07,5.97,6.08,6.14,6.19,6.13,6.2,6.18,6.13,6.09,6.03,6.02,6.01,5.91,5.82,5.72,5.64,5.53,5.54,5.62,5.6,5.57,5.64,5.59,5.58,5.53,5.41,5.17,5.2,5.52,5.41,5.28,5.27,5.28,5.34,5.43,5.51,5.6,5.59,5.58,5.6,5.53,5.48,5.5,5.55,5.63,5.69,64073.0000,-0.1940,35.0000,63000.0000,0.7100,
65779,19111,Philadelphia,PA,10.81,10.89,10.85,10.57,10.51,10.35,10.25,10.17,10.2,10.09,10,10.02,9.93,9.86,9.82,9.81,9.83,9.72,9.77,9.92,9.96,10.03,10.13,10.11,10.14,10.21,10.12,9.95,9.94,10.08,10.09,10.1,10.18,10.28,10.23,10.32,10.26,10.12,10.21,10.18,10.23,10.28,10.29,10.2,10.19,9.97,9.76,9.71,9.71,9.72,9.72,9.75,9.78,9.77,9.66,9.64,9.54,9.51,9.58,9.8,9.91,10.02,10.06,9.89,9.93,10.11,10.06,10.04,10.14,10.46,10.5,10.54,10.57,10.69,10.91,11.06,11.12,11.23,11.03,10.94,10.94,10.96,10.95,11,11.14,11.25,11.35,69367.0000,0.2470,35.0000,153300.0000,0.4900,
65791,19124,Philadelphia,PA,7.82,7.73,7.81,7.74,7.68,7.63,7.57,7.43,7.43,7.4,7.31,7.3,7.37,7.38,7.4,7.4,7.35,7.35,7.26,7.18,7.09,7.01,6.94,6.93,6.9,6.9,6.98,7.05,6.98,6.98,6.82,6.73,6.66,6.69,6.7,6.67,6.65,6.55,6.62,6.6,6.59,6.6,6.56,6.61,6.6,6.53,6.5,6.62,6.63,6.61,6.71,6.75,6.75,6.73,6.73,6.76,6.76,6.69,6.77,6.9,6.95,6.98,6.95,6.81,6.83,6.81,6.75,6.79,6.75,6.84,6.86,6.88,6.88,6.9,6.96,7.04,7.08,7.12,7.1,7.23,7.09,6.95,6.85,6.95,7.09,7.15,7.21,64015.0000,0.0440,31.9000,792000.0000,0.7700,
65787,19120,Philadelphia,PA,7.73,7.7,7.78,7.79,7.84,7.89,7.88,7.85,7.84,7.79,7.67,7.64,7.7,7.66,7.6,7.57,7.55,7.45,7.42,7.36,7.21,7.17,7.24,7.22,7.14,7.2,7.24,7.18,7.12,7.05,6.88,6.8,6.64,6.58,6.64,6.57,6.63,6.6,6.65,6.58,6.57,6.56,6.5,6.5,6.52,6.53,6.57,6.66,6.7,6.74,6.82,6.78,6.83,6.82,6.79,6.74,6.71,6.62,6.73,6.9,7.02,7.06,7.08,6.96,6.85,6.84,6.74,6.88,6.89,6.74,6.78,6.88,6.93,7.01,7.11,7.19,7.25,7.29,7.22,7.24,7.17,7.12,7.06,7.23,7.43,7.45,7.42,77645.0000,0.2140,28.6000,824000.0000,0.7000,
65801,19134,Philadelphia,PA,6.45,6.43,6.34,6.44,6.43,6.42,6.36,6.27,6.09,5.97,5.88,5.83,5.82,5.83,5.84,5.85,5.76,5.68,5.61,5.47,5.37,5.28,5.23,5.29,5.29,5.23,5.16,5.12,5.09,5.1,5.07,5.19,5.17,5.16,5.15,5.14,5.22,5.3,5.41,5.48,5.46,5.41,5.38,5.33,5.29,5.18,5.2,5.17,5.3,5.41,5.58,5.64,5.68,5.61,5.53,5.44,5.33,5.27,5.3,5.34,5.34,5.31,5.28,5.18,5.14,5.08,5.03,4.61,4.53,4.57,4.57,4.65,4.71,4.75,4.77,4.83,4.74,4.67,4.51,4.39,4.37,4.32,4.38,4.47,4.64,4.65,4.76,63631.0000,0.1020,29.1000,54500.0000,0.8300,
65815,19148,Philadelphia,PA,10.89,10.77,10.84,10.84,10.75,10.59,10.37,10.19,10.02,9.84,9.69,9.56,9.72,9.74,9.74,9.7,9.59,9.43,9.32,9.26,9.39,9.37,9.47,9.48,9.38,9.41,9.42,9.43,9.35,9.48,9.67,9.77,9.74,9.64,9.57,9.63,9.79,9.92,10.14,10.26,10.45,10.48,10.88,10.94,10.87,10.61,10.56,10.46,10.31,10.25,10.4,10.59,10.64,10.72,10.75,10.76,10.78,10.67,10.75,10.84,10.91,10.95,10.97,10.99,11.05,11.27,11.34,11.07,11.08,11.36,11.35,11.52,11.58,11.91,12.19,12.4,12.49,12.52,12.4,12.36,12.39,12.32,12.32,12.47,12.69,12.71,12.9,52629.0000,0.0750,35.7000,176700.0000,0.4600,
65772,19104,Philadelphia,PA,8.18,8.23,8.14,8.15,8.01,7.66,7.44,7.1,6.66,6.43,6.36,6.37,6.43,6.48,6.53,6.63,6.46,6.54,6.39,6.23,5.83,5.7,5.82,5.96,6.07,6.18,6.29,6.38,6.31,6.31,6.21,6.27,6.26,6.27,6.28,6.38,6.69,6.96,7.4,7.35,7.3,7.14,7.2,7.05,6.93,7.01,7.08,6.76,6.78,6.81,7.05,7.22,7.29,7.26,7.17,7.12,7.1,7.01,6.94,6.78,6.61,6.71,6.91,6.93,7.09,7.28,7.25,7.18,7.17,8.46,8.06,7.9,8.02,8.14,8.28,8.38,8.37,8.33,8.3,8.52,8.67,8.83,8.89,9.13,9.29,9.52,9.64,53360.0000,0.0350,22.2000,10830.0000,0.8000,
65811,19144,Philadelphia,PA,7.71,7.53,7.59,7.65,7.55,7.43,7.35,7.29,7.4,7.5,7.44,7.47,7.41,7.42,7.36,7.26,7.14,7.16,7.22,7.22,7.09,6.98,6.99,7.08,7.17,7.31,7.51,7.59,7.49,7.48,7.48,7.32,7.25,7.32,7.24,7.19,7.2,7.34,7.51,7.68,7.62,7.57,7.64,7.77,7.81,7.65,7.75,7.87,7.93,8.05,8.11,8.23,8.3,8.34,8.29,8.16,8.04,7.91,7.88,7.96,8.01,7.97,7.92,7.84,7.95,7.94,7.88,7.41,7.36,7.34,7.55,7.85,8.14,8.37,8.54,8.68,8.74,8.83,8.78,8.88,8.75,8.86,8.92,8.98,9.17,9.32,9.41,41549.0000,-0.1210,35.8000,121100.0000,0.7400,
65807,19140,Philadelphia,PA,5.5,5.48,5.14,5.19,5.17,5.19,5.13,5.05,4.95,4.89,4.84,4.82,4.81,4.85,4.88,4.98,4.98,4.93,4.84,4.71,4.66,4.59,4.56,4.58,4.56,4.6,4.6,4.58,4.5,4.56,4.49,4.46,4.47,4.51,4.47,4.45,4.42,4.34,4.37,4.4,4.4,4.44,4.44,4.5,4.49,4.36,4.27,4.33,4.36,4.44,4.45,4.56,4.63,4.54,4.42,4.24,4.15,4.1,4.15,4.26,4.31,4.31,4.4,4.29,4.26,4.17,4.06,4.13,4.13,4.33,4.29,4.36,4.38,4.42,4.51,4.54,4.53,4.53,4.5,4.4,4.29,4.23,4.23,4.26,4.34,4.38,4.42,53608.0000,-0.1350,32.7000,47700.0000,0.8400,
65812,19145,Philadelphia,PA,9.69,9.62,9.75,9.71,9.64,9.41,9.16,8.74,8.47,8.15,7.91,7.82,7.89,8.08,8.23,8.33,8.38,8.37,8.34,8.19,8.24,8.15,8.24,8.29,8.33,8.41,8.48,8.5,8.49,8.41,8.4,8.25,8.09,8.07,7.93,7.98,8.09,8.32,8.64,8.7,8.81,8.72,8.61,8.66,8.8,8.65,8.57,8.43,8.41,8.51,8.73,8.85,8.88,8.94,8.96,8.87,8.87,8.83,8.99,9.15,9.36,9.55,9.7,9.72,9.81,9.98,9.93,9.47,9.46,10.24,10.25,10.31,10.3,10.46,10.61,10.9,11.15,11.25,11.29,11.35,11.24,11.22,11.3,11.54,11.7,11.82,12.04,47498.0000,-0.1010,35.6000,153700.0000,0.5600,
